date,product_id,ranking_type,rank,member_name,volume,change
2025-09-08,IF,成交量排名,1,中信期货(代客),28488,-4475
2025-09-08,IF,成交量排名,10,国投期货(代客),3779,-947
2025-09-08,IF,成交量排名,11,广发期货(代客),3773,-206
2025-09-08,IF,成交量排名,12,华泰期货(代客),3655,354
2025-09-08,IF,成交量排名,13,南华期货(代客),2691,-729
2025-09-08,IF,成交量排名,14,光大期货(代客),2596,-301
2025-09-08,IF,成交量排名,15,瑞达期货(代客),2070,-187
2025-09-08,IF,成交量排名,16,永安期货(代客),1924,-234
2025-09-08,IF,成交量排名,17,申银万国(代客),1918,406
2025-09-08,IF,成交量排名,18,浙商期货(代客),1675,-1143
2025-09-08,IF,成交量排名,19,招商期货(代客),1671,-605
2025-09-08,IF,成交量排名,2,国泰君安(代客),23959,-2856
2025-09-08,IF,成交量排名,20,方正中期(代客),1618,-67
2025-09-08,IF,成交量排名,3,海通期货(代客),13352,-1176
2025-09-08,IF,成交量排名,4,东证期货(代客),10791,-433
2025-09-08,IF,成交量排名,5,国信期货(代客),7126,-996
2025-09-08,IF,成交量排名,6,银河期货(代客),5615,-855
2025-09-08,IF,成交量排名,7,华闻期货(代客),4979,-21
2025-09-08,IF,成交量排名,8,中泰期货(代客),4177,-388
2025-09-08,IF,成交量排名,9,中信建投(代客),4072,-1311
2025-09-08,IF,成交量排名,合计,,129929,-16170
2025-09-08,IF,持买单量排名,1,中信期货(代客),3333,690
2025-09-08,IF,持买单量排名,10,光大期货(代客),164,42
2025-09-08,IF,持买单量排名,11,国投期货(代客),161,48
2025-09-08,IF,持买单量排名,12,招商期货(代客),161,-35
2025-09-08,IF,持买单量排名,13,瑞银期货(代客),149,131
2025-09-08,IF,持买单量排名,14,五矿期货(代客),137,-74
2025-09-08,IF,持买单量排名,15,宝城期货(代客),136,-19
2025-09-08,IF,持买单量排名,16,方正中期(代客),133,-65
2025-09-08,IF,持买单量排名,17,中信建投(代客),127,-51
2025-09-08,IF,持买单量排名,18,南华期货(代客),125,38
2025-09-08,IF,持买单量排名,19,华闻期货(代客),125,14
2025-09-08,IF,持买单量排名,2,国泰君安(代客),2079,198
2025-09-08,IF,持买单量排名,20,中泰期货(代客),114,-13
2025-09-08,IF,持买单量排名,3,海通期货(代客),2037,570
2025-09-08,IF,持买单量排名,4,东证期货(代客),1841,-228
2025-09-08,IF,持买单量排名,5,国信期货(代客),550,162
2025-09-08,IF,持买单量排名,6,广发期货(代客),531,245
2025-09-08,IF,持买单量排名,7,一德期货(代客),519,503
2025-09-08,IF,持买单量排名,8,银河期货(代客),191,-24
2025-09-08,IF,持买单量排名,9,华泰期货(代客),186,-187
2025-09-08,IF,持买单量排名,合计,,12799,1945
2025-09-08,IF,持卖单量排名,1,中信期货(代客),12765,-968
2025-09-08,IF,持卖单量排名,10,广发期货(代客),1326,-353
2025-09-08,IF,持卖单量排名,11,一德期货(代客),1287,251
2025-09-08,IF,持卖单量排名,12,华泰期货(代客),1138,-267
2025-09-08,IF,持卖单量排名,13,浙商期货(代客),1103,196
2025-09-08,IF,持卖单量排名,14,五矿期货(代客),982,36
2025-09-08,IF,持卖单量排名,15,大地期货(代客),965,-35
2025-09-08,IF,持卖单量排名,16,宝城期货(代客),816,-351
2025-09-08,IF,持卖单量排名,17,中信建投(代客),805,-525
2025-09-08,IF,持卖单量排名,18,东兴期货(代客),797,-51
2025-09-08,IF,持卖单量排名,19,光大期货(代客),785,63
2025-09-08,IF,持卖单量排名,2,国泰君安(代客),10554,-1182
2025-09-08,IF,持卖单量排名,20,招商期货(代客),784,-197
2025-09-08,IF,持卖单量排名,3,海通期货(代客),7197,724
2025-09-08,IF,持卖单量排名,4,国信期货(代客),4857,470
2025-09-08,IF,持卖单量排名,5,东证期货(代客),3781,-262
2025-09-08,IF,持卖单量排名,6,华闻期货(代客),3317,-273
2025-09-08,IF,持卖单量排名,7,银河期货(代客),1896,-1030
2025-09-08,IF,持卖单量排名,8,南华期货(代客),1749,-32
2025-09-08,IF,持卖单量排名,9,中泰期货(代客),1697,155
2025-09-08,IF,持卖单量排名,合计,,58601,-3631
2025-09-09,IF,成交量排名,1,中信期货(代客),24444,-4044
2025-09-09,IF,成交量排名,10,广发期货(代客),3357,-416
2025-09-09,IF,成交量排名,11,国投期货(代客),3304,-475
2025-09-09,IF,成交量排名,12,华泰期货(代客),3216,-439
2025-09-09,IF,成交量排名,13,光大期货(代客),2146,-450
2025-09-09,IF,成交量排名,14,瑞达期货(代客),1950,-120
2025-09-09,IF,成交量排名,15,南华期货(代客),1916,-775
2025-09-09,IF,成交量排名,16,浙商期货(代客),1902,227
2025-09-09,IF,成交量排名,17,招商期货(代客),1679,8
2025-09-09,IF,成交量排名,18,永安期货(代客),1650,-274
2025-09-09,IF,成交量排名,19,申银万国(代客),1439,-479
2025-09-09,IF,成交量排名,2,国泰君安(代客),21367,-2592
2025-09-09,IF,成交量排名,20,五矿期货(代客),1428,33
2025-09-09,IF,成交量排名,3,海通期货(代客),10492,-2860
2025-09-09,IF,成交量排名,4,东证期货(代客),8534,-2257
2025-09-09,IF,成交量排名,5,国信期货(代客),6216,-910
2025-09-09,IF,成交量排名,6,银河期货(代客),4468,-1147
2025-09-09,IF,成交量排名,7,华闻期货(代客),3953,-1026
2025-09-09,IF,成交量排名,8,中泰期货(代客),3780,-397
2025-09-09,IF,成交量排名,9,中信建投(代客),3410,-662
2025-09-09,IF,成交量排名,合计,,110651,-19055
2025-09-09,IF,持买单量排名,1,中信期货(代客),2113,-1220
2025-09-09,IF,持买单量排名,10,国信期货(代客),157,-393
2025-09-09,IF,持买单量排名,11,五矿期货(代客),146,9
2025-09-09,IF,持买单量排名,12,中信建投(代客),142,15
2025-09-09,IF,持买单量排名,13,光大期货(代客),137,-27
2025-09-09,IF,持买单量排名,14,平安期货(代客),135,71
2025-09-09,IF,持买单量排名,15,中粮期货(代客),126,79
2025-09-09,IF,持买单量排名,16,宝城期货(代客),122,-14
2025-09-09,IF,持买单量排名,17,申银万国(代客),113,35
2025-09-09,IF,持买单量排名,18,方正中期(代客),112,-21
2025-09-09,IF,持买单量排名,19,中泰期货(代客),108,-6
2025-09-09,IF,持买单量排名,2,海通期货(代客),1525,-512
2025-09-09,IF,持买单量排名,20,国投期货(代客),93,-68
2025-09-09,IF,持买单量排名,3,国泰君安(代客),1434,-645
2025-09-09,IF,持买单量排名,4,东证期货(代客),1169,-672
2025-09-09,IF,持买单量排名,5,广发期货(代客),360,-171
2025-09-09,IF,持买单量排名,6,华泰期货(代客),323,137
2025-09-09,IF,持买单量排名,7,银河期货(代客),274,83
2025-09-09,IF,持买单量排名,8,招商期货(代客),218,57
2025-09-09,IF,持买单量排名,9,浙商期货(代客),159,106
2025-09-09,IF,持买单量排名,合计,,8966,-3157
2025-09-09,IF,持卖单量排名,1,中信期货(代客),10439,-2326
2025-09-09,IF,持卖单量排名,10,华泰期货(代客),1497,359
2025-09-09,IF,持卖单量排名,11,南华期货(代客),1400,-349
2025-09-09,IF,持卖单量排名,12,光大期货(代客),940,155
2025-09-09,IF,持卖单量排名,13,一德期货(代客),919,-368
2025-09-09,IF,持卖单量排名,14,五矿期货(代客),912,-70
2025-09-09,IF,持卖单量排名,15,瑞达期货(代客),880,145
2025-09-09,IF,持卖单量排名,16,宏源期货(代客),823,370
2025-09-09,IF,持卖单量排名,17,宝城期货(代客),804,-12
2025-09-09,IF,持卖单量排名,18,中信建投(代客),766,-39
2025-09-09,IF,持卖单量排名,19,浙商期货(代客),724,-379
2025-09-09,IF,持卖单量排名,2,国泰君安(代客),9194,-1360
2025-09-09,IF,持卖单量排名,20,东兴期货(代客),724,-73
2025-09-09,IF,持卖单量排名,3,海通期货(代客),5604,-1593
2025-09-09,IF,持卖单量排名,4,国信期货(代客),4111,-746
2025-09-09,IF,持卖单量排名,5,东证期货(代客),3697,-84
2025-09-09,IF,持卖单量排名,6,华闻期货(代客),2624,-693
2025-09-09,IF,持卖单量排名,7,银河期货(代客),2047,151
2025-09-09,IF,持卖单量排名,8,广发期货(代客),1782,456
2025-09-09,IF,持卖单量排名,9,中泰期货(代客),1546,-151
2025-09-09,IF,持卖单量排名,合计,,51433,-6607
2025-09-10,IF,成交量排名,1,中信期货(代客),25909,1465
2025-09-10,IF,成交量排名,10,广发期货(代客),3551,194
2025-09-10,IF,成交量排名,11,国投期货(代客),3076,-228
2025-09-10,IF,成交量排名,12,华泰期货(代客),2598,-618
2025-09-10,IF,成交量排名,13,浙商期货(代客),2332,430
2025-09-10,IF,成交量排名,14,光大期货(代客),2291,145
2025-09-10,IF,成交量排名,15,瑞达期货(代客),2085,135
2025-09-10,IF,成交量排名,16,南华期货(代客),1962,46
2025-09-10,IF,成交量排名,17,永安期货(代客),1843,193
2025-09-10,IF,成交量排名,18,招商期货(代客),1816,137
2025-09-10,IF,成交量排名,19,申银万国(代客),1692,253
2025-09-10,IF,成交量排名,2,国泰君安(代客),22175,808
2025-09-10,IF,成交量排名,20,兴证期货(代客),1487,230
2025-09-10,IF,成交量排名,3,海通期货(代客),11125,633
2025-09-10,IF,成交量排名,4,东证期货(代客),9984,1450
2025-09-10,IF,成交量排名,5,国信期货(代客),6404,188
2025-09-10,IF,成交量排名,6,银河期货(代客),4834,366
2025-09-10,IF,成交量排名,7,中信建投(代客),3878,468
2025-09-10,IF,成交量排名,8,中泰期货(代客),3797,17
2025-09-10,IF,成交量排名,9,华闻期货(代客),3769,-184
2025-09-10,IF,成交量排名,合计,,116608,6128
2025-09-10,IF,持买单量排名,1,中信期货(代客),2773,660
2025-09-10,IF,持买单量排名,10,招商期货(代客),203,-15
2025-09-10,IF,持买单量排名,11,平安期货(代客),155,20
2025-09-10,IF,持买单量排名,12,宝城期货(代客),146,24
2025-09-10,IF,持买单量排名,13,光大期货(代客),144,7
2025-09-10,IF,持买单量排名,14,中泰期货(代客),139,31
2025-09-10,IF,持买单量排名,15,银河期货(代客),128,-146
2025-09-10,IF,持买单量排名,16,中信建投(代客),128,-14
2025-09-10,IF,持买单量排名,17,国投期货(代客),110,17
2025-09-10,IF,持买单量排名,18,申银万国(代客),106,-7
2025-09-10,IF,持买单量排名,19,南华期货(代客),105,54
2025-09-10,IF,持买单量排名,2,东证期货(代客),1657,488
2025-09-10,IF,持买单量排名,20,五矿期货(代客),99,-47
2025-09-10,IF,持买单量排名,3,国泰君安(代客),1574,140
2025-09-10,IF,持买单量排名,4,海通期货(代客),1512,-13
2025-09-10,IF,持买单量排名,5,广发期货(代客),395,35
2025-09-10,IF,持买单量排名,6,华泰期货(代客),357,34
2025-09-10,IF,持买单量排名,7,一德期货(代客),287,227
2025-09-10,IF,持买单量排名,8,国信期货(代客),270,113
2025-09-10,IF,持买单量排名,9,长江期货(代客),247,194
2025-09-10,IF,持买单量排名,合计,,10535,1802
2025-09-10,IF,持卖单量排名,1,中信期货(代客),12081,1642
2025-09-10,IF,持卖单量排名,10,一德期货(代客),1503,584
2025-09-10,IF,持卖单量排名,11,华泰期货(代客),1503,6
2025-09-10,IF,持卖单量排名,12,中泰期货(代客),1277,-269
2025-09-10,IF,持卖单量排名,13,瑞达期货(代客),1080,200
2025-09-10,IF,持卖单量排名,14,宏源期货(代客),1066,243
2025-09-10,IF,持卖单量排名,15,中信建投(代客),849,83
2025-09-10,IF,持卖单量排名,16,五矿期货(代客),834,-78
2025-09-10,IF,持卖单量排名,17,招商期货(代客),827,171
2025-09-10,IF,持卖单量排名,18,申银万国(代客),821,402
2025-09-10,IF,持卖单量排名,19,光大期货(代客),798,-142
2025-09-10,IF,持卖单量排名,2,国泰君安(代客),11208,2014
2025-09-10,IF,持卖单量排名,20,宝城期货(代客),751,-53
2025-09-10,IF,持卖单量排名,3,海通期货(代客),6369,765
2025-09-10,IF,持卖单量排名,4,国信期货(代客),4001,-110
2025-09-10,IF,持卖单量排名,5,东证期货(代客),3909,212
2025-09-10,IF,持卖单量排名,6,华闻期货(代客),3156,532
2025-09-10,IF,持卖单量排名,7,银河期货(代客),2147,100
2025-09-10,IF,持卖单量排名,8,广发期货(代客),1763,-19
2025-09-10,IF,持卖单量排名,9,南华期货(代客),1728,328
2025-09-10,IF,持卖单量排名,合计,,57671,6611
2025-09-11,IF,成交量排名,1,中信期货(代客),32475,6566
2025-09-11,IF,成交量排名,10,中信建投(代客),4468,590
2025-09-11,IF,成交量排名,11,国投期货(代客),4381,1305
2025-09-11,IF,成交量排名,12,光大期货(代客),3623,1332
2025-09-11,IF,成交量排名,13,华泰期货(代客),3190,592
2025-09-11,IF,成交量排名,14,永安期货(代客),2657,814
2025-09-11,IF,成交量排名,15,南华期货(代客),2601,639
2025-09-11,IF,成交量排名,16,瑞达期货(代客),2423,338
2025-09-11,IF,成交量排名,17,浙商期货(代客),2419,87
2025-09-11,IF,成交量排名,18,招商期货(代客),2349,533
2025-09-11,IF,成交量排名,19,平安期货(代客),1996,538
2025-09-11,IF,成交量排名,2,国泰君安(代客),26728,4553
2025-09-11,IF,成交量排名,20,五矿期货(代客),1795,630
2025-09-11,IF,成交量排名,3,海通期货(代客),12688,1563
2025-09-11,IF,成交量排名,4,东证期货(代客),11726,1742
2025-09-11,IF,成交量排名,5,国信期货(代客),8102,1698
2025-09-11,IF,成交量排名,6,华闻期货(代客),6063,2294
2025-09-11,IF,成交量排名,7,银河期货(代客),5589,755
2025-09-11,IF,成交量排名,8,广发期货(代客),5130,1579
2025-09-11,IF,成交量排名,9,中泰期货(代客),5008,1211
2025-09-11,IF,成交量排名,合计,,145411,29359
2025-09-11,IF,持买单量排名,1,中信期货(代客),3582,809
2025-09-11,IF,持买单量排名,10,光大期货(代客),497,353
2025-09-11,IF,持买单量排名,11,中金财富(代客),496,432
2025-09-11,IF,持买单量排名,12,银河期货(代客),407,279
2025-09-11,IF,持买单量排名,13,正信期货(代客),395,394
2025-09-11,IF,持买单量排名,14,招商期货(代客),320,117
2025-09-11,IF,持买单量排名,15,南华期货(代客),290,185
2025-09-11,IF,持买单量排名,16,宝城期货(代客),244,98
2025-09-11,IF,持买单量排名,17,华闻期货(代客),234,166
2025-09-11,IF,持买单量排名,18,平安期货(代客),229,74
2025-09-11,IF,持买单量排名,19,中泰期货(代客),223,84
2025-09-11,IF,持买单量排名,2,国泰君安(代客),3406,1832
2025-09-11,IF,持买单量排名,20,恒泰期货(代客),216,211
2025-09-11,IF,持买单量排名,3,海通期货(代客),2607,1095
2025-09-11,IF,持买单量排名,4,东证期货(代客),2156,499
2025-09-11,IF,持买单量排名,5,华泰期货(代客),924,567
2025-09-11,IF,持买单量排名,6,广发期货(代客),908,513
2025-09-11,IF,持买单量排名,7,国信期货(代客),631,361
2025-09-11,IF,持买单量排名,8,国投期货(代客),577,467
2025-09-11,IF,持买单量排名,9,一德期货(代客),509,222
2025-09-11,IF,持买单量排名,合计,,18851,8758
2025-09-11,IF,持卖单量排名,1,中信期货(代客),15471,3390
2025-09-11,IF,持卖单量排名,10,一德期货(代客),2044,541
2025-09-11,IF,持卖单量排名,11,中泰期货(代客),1486,209
2025-09-11,IF,持卖单量排名,12,华泰期货(代客),1470,-33
2025-09-11,IF,持卖单量排名,13,中金财富(代客),1326,1000
2025-09-11,IF,持卖单量排名,14,瑞达期货(代客),1273,193
2025-09-11,IF,持卖单量排名,15,中金期货(代客),1209,910
2025-09-11,IF,持卖单量排名,16,永安期货(代客),1162,510
2025-09-11,IF,持卖单量排名,17,五矿期货(代客),1146,312
2025-09-11,IF,持卖单量排名,18,招商期货(代客),1131,304
2025-09-11,IF,持卖单量排名,19,中信建投(代客),1122,273
2025-09-11,IF,持卖单量排名,2,国泰君安(代客),12647,1439
2025-09-11,IF,持卖单量排名,20,宏源期货(代客),1109,43
2025-09-11,IF,持卖单量排名,3,海通期货(代客),6555,186
2025-09-11,IF,持卖单量排名,4,国信期货(代客),5245,1244
2025-09-11,IF,持卖单量排名,5,华闻期货(代客),4625,1469
2025-09-11,IF,持卖单量排名,6,东证期货(代客),4228,319
2025-09-11,IF,持卖单量排名,7,广发期货(代客),2907,1144
2025-09-11,IF,持卖单量排名,8,南华期货(代客),2511,783
2025-09-11,IF,持卖单量排名,9,银河期货(代客),2310,163
2025-09-11,IF,持卖单量排名,合计,,70977,14399
2025-09-12,IF,成交量排名,1,中信期货(代客),27636,-4839
2025-09-12,IF,成交量排名,10,中泰期货(代客),4367,-641
2025-09-12,IF,成交量排名,11,中信建投(代客),4184,-284
2025-09-12,IF,成交量排名,12,国投期货(代客),3841,-540
2025-09-12,IF,成交量排名,13,光大期货(代客),2930,-693
2025-09-12,IF,成交量排名,14,永安期货(代客),2583,-74
2025-09-12,IF,成交量排名,15,南华期货(代客),2513,-88
2025-09-12,IF,成交量排名,16,招商期货(代客),2252,-97
2025-09-12,IF,成交量排名,17,浙商期货(代客),2022,-397
2025-09-12,IF,成交量排名,18,瑞达期货(代客),1989,-434
2025-09-12,IF,成交量排名,19,申银万国(代客),1924,192
2025-09-12,IF,成交量排名,2,国泰君安(代客),23851,-2877
2025-09-12,IF,成交量排名,20,兴证期货(代客),1638,-45
2025-09-12,IF,成交量排名,3,海通期货(代客),12099,-589
2025-09-12,IF,成交量排名,4,东证期货(代客),11307,-419
2025-09-12,IF,成交量排名,5,国信期货(代客),6969,-1133
2025-09-12,IF,成交量排名,6,银河期货(代客),5138,-451
2025-09-12,IF,成交量排名,7,广发期货(代客),4586,-544
2025-09-12,IF,成交量排名,8,华闻期货(代客),4561,-1502
2025-09-12,IF,成交量排名,9,华泰期货(代客),4456,1266
2025-09-12,IF,成交量排名,合计,,130846,-14189
2025-09-12,IF,持买单量排名,1,中信期货(代客),3449,-133
2025-09-12,IF,持买单量排名,10,光大期货(代客),300,-197
2025-09-12,IF,持买单量排名,11,五矿期货(代客),279,65
2025-09-12,IF,持买单量排名,12,国投期货(代客),236,-341
2025-09-12,IF,持买单量排名,13,中泰期货(代客),195,-28
2025-09-12,IF,持买单量排名,14,招商期货(代客),195,-125
2025-09-12,IF,持买单量排名,15,平安期货(代客),191,-38
2025-09-12,IF,持买单量排名,16,国元期货(代客),172,47
2025-09-12,IF,持买单量排名,17,华闻期货(代客),157,-77
2025-09-12,IF,持买单量排名,18,申银万国(代客),153,17
2025-09-12,IF,持买单量排名,19,新世纪(代客),152,97
2025-09-12,IF,持买单量排名,2,东证期货(代客),2703,547
2025-09-12,IF,持买单量排名,20,宝城期货(代客),148,-96
2025-09-12,IF,持买单量排名,3,国泰君安(代客),2691,-715
2025-09-12,IF,持买单量排名,4,海通期货(代客),2346,-261
2025-09-12,IF,持买单量排名,5,广发期货(代客),949,41
2025-09-12,IF,持买单量排名,6,华泰期货(代客),624,-300
2025-09-12,IF,持买单量排名,7,银河期货(代客),427,20
2025-09-12,IF,持买单量排名,8,国信期货(代客),344,-287
2025-09-12,IF,持买单量排名,9,长江期货(代客),335,122
2025-09-12,IF,持买单量排名,合计,,16046,-1642
2025-09-12,IF,持卖单量排名,1,中信期货(代客),14653,-818
2025-09-12,IF,持卖单量排名,10,中泰期货(代客),1866,380
2025-09-12,IF,持卖单量排名,11,南华期货(代客),1562,-949
2025-09-12,IF,持卖单量排名,12,一德期货(代客),1462,-582
2025-09-12,IF,持卖单量排名,13,招商期货(代客),1294,163
2025-09-12,IF,持卖单量排名,14,光大期货(代客),1226,214
2025-09-12,IF,持卖单量排名,15,宏源期货(代客),1221,112
2025-09-12,IF,持卖单量排名,16,瑞达期货(代客),1173,-100
2025-09-12,IF,持卖单量排名,17,宝城期货(代客),1151,577
2025-09-12,IF,持卖单量排名,18,国投期货(代客),1019,162
2025-09-12,IF,持卖单量排名,19,东海期货(代客),989,607
2025-09-12,IF,持卖单量排名,2,国泰君安(代客),11270,-1377
2025-09-12,IF,持卖单量排名,20,中信建投(代客),964,-158
2025-09-12,IF,持卖单量排名,3,海通期货(代客),7059,504
2025-09-12,IF,持卖单量排名,4,国信期货(代客),4690,-555
2025-09-12,IF,持卖单量排名,5,东证期货(代客),4489,261
2025-09-12,IF,持卖单量排名,6,华闻期货(代客),3683,-942
2025-09-12,IF,持卖单量排名,7,广发期货(代客),2959,52
2025-09-12,IF,持卖单量排名,8,华泰期货(代客),2309,839
2025-09-12,IF,持卖单量排名,9,银河期货(代客),1970,-340
2025-09-12,IF,持卖单量排名,合计,,67009,-1950
